SampleID,NC_2516,Rv1733c,Rv1830,Rv2690c,Rv3220c,Rv3861,ceoB,devR,devS,katG,mtrA,phoR,subI,sugI,virS,whiB6
MFS-264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
