SampleID,NC_2516,Rv1733c,Rv1830,Rv2690c,Rv3220c,Rv3861,ceoB,devR,devS,katG,mtrA,phoR,subI,sugI,virS,whiB6
MFS-277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
