"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed","reason"
"S0273-05.filtered.vcf.gz",2,-1514.81772490187,1e-04,0,6.12637341708271e-06,14.6862,2,57,"4.1.1.1",0.1194,FALSE,NA
"S0274-01.filtered.vcf.gz",1,-1021.85168430671,1e-04,0,-1,Inf,1,57,"4.1.1.1",1,FALSE,NA
"S0274-08.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0276-01.filtered.vcf.gz",3,-1304.9424383491,0.000678600823045267,0,0.00120046021981887,4.98640000000001,1,40,"2.2.M4.4",0.8561,FALSE,NA
"S0276-01.filtered.vcf.gz",3,-1304.9424383491,0.000678600823045267,0,0.00120046021981887,4.98640000000001,2,57,"4.1.1.1",0.1002,FALSE,NA
"S0276-01.filtered.vcf.gz",3,-1304.9424383491,0.000678600823045267,0,0.00120046021981887,4.98640000000001,3,156,"4.1.1.3",0.0437,FALSE,NA
"S0276-07.filtered.vcf.gz",1,-859.225960397686,0.000922222222222222,0,-1,Inf,1,40,"2.2.M4.4",1,FALSE,NA
"S0278-01.filtered.vcf.gz",1,-1116.78266496141,1e-04,0,-1,Inf,1,12,"4.3.3",1,FALSE,NA
"S0278-06.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0279-01_K064745.filtered.vcf.gz",3,-2455.11293662514,0.000739506172839506,0,5.74509832428942e-34,20.0356,1,9,"4.3.2.1",0.8707,FALSE,NA
"S0279-01_K064745.filtered.vcf.gz",3,-2455.11293662514,0.000739506172839506,0,5.74509832428942e-34,20.0356,2,40,"2.2.M4.4",0.0283,FALSE,NA
"S0279-01_K064745.filtered.vcf.gz",3,-2455.11293662514,0.000739506172839506,0,5.74509832428942e-34,20.0356,3,128,"4.9",0.101,FALSE,NA
"S0279-01.filtered.vcf.gz",2,-994.637922929898,0.000495884773662551,0,8.65284515655945e-49,18.696,1,9,"4.3.2.1",0.9344,FALSE,NA
"S0279-01.filtered.vcf.gz",2,-994.637922929898,0.000495884773662551,0,8.65284515655945e-49,18.696,2,57,"4.1.1.1",0.0656,FALSE,NA
"S0279-06_K064731.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0279-06.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0280-01.filtered.vcf.gz",2,-1405.78401254629,0.000922222222222222,0,1.60578512318873e-30,21.721,1,97,"4.3.4.2.1",0.893,FALSE,NA
"S0280-01.filtered.vcf.gz",2,-1405.78401254629,0.000922222222222222,0,1.60578512318873e-30,21.721,2,57,"4.1.1.1",0.107,FALSE,NA
"S0280-06.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0281-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0283-01.filtered.vcf.gz",3,-5688.24860252182,0.000678600823045267,0,3.81197812701307e-26,4.8031,1,65,"2.2.M1.1",0.9283,FALSE,NA
"S0283-01.filtered.vcf.gz",3,-5688.24860252182,0.000678600823045267,0,3.81197812701307e-26,4.8031,2,9,"4.3.2.1",0.0566,FALSE,NA
"S0283-01.filtered.vcf.gz",3,-5688.24860252182,0.000678600823045267,0,3.81197812701307e-26,4.8031,3,156,"4.1.1.3",0.0151,FALSE,NA
"S0284-07.filtered.vcf.gz",1,-573.396388441384,0.000678600823045267,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0288-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0290-01.filtered.vcf.gz",1,-1147.55970408879,0.00055679012345679,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0291-01.filtered.vcf.gz",1,-396.542698934627,1e-04,0,-1,Inf,1,158,"4.1.2",1,FALSE,NA
"S0291-09.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0294-01.filtered.vcf.gz",1,-1598.97010801826,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0298-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0301-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0305-01.filtered.vcf.gz",2,-1646.46909562941,1e-04,0,4.57490275588735e-49,16.1847,1,9,"4.3.2.1",0.9559,FALSE,NA
"S0305-01.filtered.vcf.gz",2,-1646.46909562941,1e-04,0,4.57490275588735e-49,16.1847,2,65,"2.2.M1.1",0.0441,FALSE,NA
"S0307-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0310-01.filtered.vcf.gz",2,-4487.89411897648,0.00055679012345679,0,6.72733563661018e-59,9.76219999999999,1,65,"2.2.M1.1",0.9734,FALSE,NA
"S0310-01.filtered.vcf.gz",2,-4487.89411897648,0.00055679012345679,0,6.72733563661018e-59,9.76219999999999,2,9,"4.3.2.1",0.0266,FALSE,NA
"S0314-01B.filtered.vcf.gz",1,-4969.08457666517,0.00055679012345679,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE,NA
"S0314-01.filtered.vcf.gz",2,-3077.25726418224,0.000617695473251029,0,1.34357952253363e-55,18.1056,1,65,"2.2.M1.1",0.9448,FALSE,NA
