SampleID,Kraken_Kept_Prop
S0004-01,0.7994430495364968
S0004-m5,0.0874787154313492
S0008-01,0.2701558877290078
S0018-01,0.0824929410465348
S0019-01,0.476769100205356
S0021-01,0.7664402292633299
S0021-m5,0.31208242831192595
S0024-01,0.9554950785351581
S0028-01,0.4108672579655062
S0029-01,0.08071608740488866
S0030-01,0.6463051170345321
S0031-01,0.8536529813072241
S0032-01,0.8032189973614776
S0039-01,0.7829708781595177
S0045-01,0.8931960556975304
S0047-01,0.5345856436214915
S0049-01,0.7259734062167849
S0052-01,0.7983163385972727
S0055-01,0.9654103994403438
S0064-01,0.24158348013309847
S0066-01,0.9326195116340008
S0069-01,0.9763678900397995
S0070-01,0.718768994560757
S0077-01,0.9411823666222974
S0078-01,0.23341553802396472
S0079-01,0.8716479893833082
S0082-01,0.7966477080758338
S0083-01,0.9419582128558373
S0085-01,0.9064610496744571
S0089-01,0.9494066794034212
S0096-01,0.12879933301993016
S0100-01,0.7987283528358624
S0103-01,0.07752544279391242
S0107-01,0.9186212201457719
S0114-01,0.9226694035094217
S0115-01,0.8587392550143267
S0120-01,0.5003988018972788
S0123-01,0.9485798888020323
S0130-01,0.821662969162336
S0141-01,0.9469908246519397
S0142-01,0.91827024803578
S0143-01,0.9726368765615864
S0150-01,0.6032210749092443
S0155-01,0.7710768682813349
S0157-01,0.6131397198801565
S0161-01,0.9237826769545322
S0162-01,0.9267233832202968
S0165-01,0.8880670776117812
S0166-01,0.9386175594577378
S0170-01,0.884220146348415
S0171-01,0.38496552377733007
S0173-01,0.9332341510187864
S0176-01,0.7670952975945768
S0179-01,0.8126396190278161
S0180-01,0.7806054311356126
S0181-01,0.9522466768135599
S0184-01,0.7491226292900715
S0185-01,0.9676565694029676
S0186-01,0.7424698853357198
S0188-01,0.280010433619768
S0189-01,0.6451060052874908
S0190-01,0.9038309425755534
S0191-01,0.8881755746720001
S0192-01,0.7716698953150903
S0194-01,0.1382111549493822
S0196-01,0.8134241883855756
S0201-01,0.5401243078362432
S0202-01,0.9833286549858472
S0209-01,0.6955344510551992
S0210-01,0.7906326282353436
S0211-01,0.639174429506858
S0212-01,0.4132674813102351
S0214-01,0.6003127139802651
S0218-01,0.9171659235105777
S0219-01,0.9190226222775012
S0220-01,0.9051431350931728
S0222-01,0.6113097857981221
S0223-01,0.8545461334329035
S0224-01,0.966295951861264
S0225-01,0.19621279838122355
S0227-01,0.53107288557024
S0229-01,0.0745824796385113
S0230-01,0.8372348990526459
S0239-01,0.8675288523909498
S0242-01,0.8477964684634031
S0245-01,0.4526450221468964
S0246-01,0.4191601301941048
S0247-01,0.11951952018671749
S0248-01,0.14924032342317203
S0249-01,0.9600773704176061
S0250-01,0.5082659964490178
S0251-01,0.35202063346385387
S0252-01,0.8461241745244865
S0254-01,0.34951906108195296
S0255-01,0.11229806063846308
S0256-01,0.7661162835116694
S0256-08,0.6781178934574883
S0257-01,0.975179133110916
S0257-07,0.9716632194243343
S0258-01,0.24549826396215074
S0259-01,0.8301734509569669
S0261-01,0.29574211235465003
S0262-01,0.210520526562701
S0265-01,0.45937230052013495
S0267-01,0.8640090873593411
S0269-01,0.7401484950795191
S0269-04,0.2794047187781193
S0270-01,0.9325309516516835
S0272-01,0.45812852292397144
S0272-09,0.668924329314046
S0273-01,0.9436532334432683
S0273-05,0.5896183988346457
S0274-01,0.5373514052578084
S0274-08,0.28545082332792177
S0276-01,0.4972322659627688
S0276-07,0.8447390012307014
S0278-01,0.9377976524195164
S0278-06,0.11082977371891584
S0279-01,0.44994905861986134
S0279-01_K064745,0.25611784524095005
S0279-06,0.07240696892579705
S0279-06_K064731,0.06502368242099556
S0280-01,0.8533750347225795
S0280-06,0.10057403747435129
S0281-01,0.7443029556168457
S0283-01,0.7314190864416228
S0284-07,0.4427522399688352
S0288-01,0.3737796905206921
S0290-01,0.9482773932464036
S0291-01,0.962138870587879
S0291-09,0.37888477110413504
S0294-01,0.9281842985411588
S0298-01,0.07748180061530557
S0301-01,0.17678362587143054
S0305-01,0.9426874695220807
S0307-01,0.04759943490280377
S0310-01,0.7916092994100914
S0314-01,0.8507061744750989
S0314-01B,0.9881850046296783
S0314-m5,0.07504102194359047
S0317-01,0.1839509566023735
S0317-01B,0.1506052144278507
S0322-01,0.9607367762794697
S0322-01B,0.9729622534496231
S0324-01,0.9828830373026625
S0325-01,0.412838842097813
S0326-01,0.17583357002044137
S0326-01B,0.4767863659175676
S0329-01,0.6034672240658535
S0330-01,0.4949353032212773
S0331-01,0.9577857313308185
S0331-01B,0.9747163521483508
S0331-01_K064729,0.9079748148512184
S0334-01,0.05694419074028047
S0334-01B,0.2126602865540742
