sample_id,n_phy,likelihood,error_rate,p_val_perm,p_val_wsrst,abs_diff,mix_index,mix_node,mix_phylotype,mix_prop,failed,reason
S0047-01.filtered.vcf.gz,3.0,-2030.87710005989,0.0009222222222222,0.0,5.78290537261499e-19,9.93,1.0,40.0,2.2.M4.4,0.6642,False,
S0047-01.filtered.vcf.gz,3.0,-2030.87710005989,0.0009222222222222,0.0,5.78290537261499e-19,9.93,2.0,159.0,4.8,0.2835,False,
S0047-01.filtered.vcf.gz,3.0,-2030.87710005989,0.0009222222222222,0.0,5.78290537261499e-19,9.93,3.0,9.0,4.3.2.1,0.0523,False,
S0049-01.filtered.vcf.gz,3.0,-2404.23614815521,0.0001,0.0,3.5656755205968797e-12,6.2062,1.0,57.0,4.1.1.1,0.8142,False,
S0049-01.filtered.vcf.gz,3.0,-2404.23614815521,0.0001,0.0,3.5656755205968797e-12,6.2062,2.0,40.0,2.2.M4.4,0.1667,False,
S0049-01.filtered.vcf.gz,3.0,-2404.23614815521,0.0001,0.0,3.5656755205968797e-12,6.2062,3.0,9.0,4.3.2.1,0.0191,False,
S0052-01.filtered.vcf.gz,2.0,-5159.85190485623,0.0001,0.0,9.921440249146131e-61,8.4777,1.0,65.0,2.2.M1.1,0.9769,False,
S0052-01.filtered.vcf.gz,2.0,-5159.85190485623,0.0001,0.0,9.921440249146131e-61,8.4777,2.0,9.0,4.3.2.1,0.0231,False,
S0055-01.filtered.vcf.gz,2.0,-4416.5544711366,0.0001,0.0,7.16565487928659e-10,0.51,1.0,65.0,2.2.M1.1,0.9898,False,
S0055-01.filtered.vcf.gz,2.0,-4416.5544711366,0.0001,0.0,7.16565487928659e-10,0.51,2.0,40.0,2.2.M4.4,0.0102,False,
S0064-01.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0066-01.filtered.vcf.gz,3.0,-8184.67518982803,0.0009222222222222,0.0,2.05779489552106e-68,33.2682,1.0,40.0,2.2.M4.4,0.4728,False,
S0066-01.filtered.vcf.gz,3.0,-8184.67518982803,0.0009222222222222,0.0,2.05779489552106e-68,33.2682,2.0,9.0,4.3.2.1,0.1156,False,
S0066-01.filtered.vcf.gz,3.0,-8184.67518982803,0.0009222222222222,0.0,2.05779489552106e-68,33.2682,3.0,65.0,2.2.M1.1,0.4116,False,
S0069-01.filtered.vcf.gz,1.0,-3241.90414573192,0.0001,0.0,-1.0,inf,1.0,65.0,2.2.M1.1,1.0,False,
S0070-01.filtered.vcf.gz,3.0,-3906.9885285203,0.0005567901234567,0.002,0.0034126008966162,0.831399999999998,1.0,40.0,2.2.M4.4,0.9752,False,
S0070-01.filtered.vcf.gz,3.0,-3906.9885285203,0.0005567901234567,0.002,0.0034126008966162,0.831399999999998,2.0,9.0,4.3.2.1,0.0136,False,
S0070-01.filtered.vcf.gz,3.0,-3906.9885285203,0.0005567901234567,0.002,0.0034126008966162,0.831399999999998,3.0,115.0,2.2.M1.4,0.0112,False,
S0077-01.filtered.vcf.gz,3.0,-5872.70752093816,0.000617695473251,0.0,7.7306135966343e-74,7.44989999999999,1.0,157.0,4.1.2.1,0.6846,False,
S0077-01.filtered.vcf.gz,3.0,-5872.70752093816,0.000617695473251,0.0,7.7306135966343e-74,7.44989999999999,2.0,40.0,2.2.M4.4,0.2921,False,
S0077-01.filtered.vcf.gz,3.0,-5872.70752093816,0.000617695473251,0.0,7.7306135966343e-74,7.44989999999999,3.0,9.0,4.3.2.1,0.0233,False,
S0078-01.filtered.vcf.gz,3.0,-2451.91345316779,0.0006786008230452,0.0,2.34662518398397e-87,8.23890000000002,1.0,40.0,2.2.M4.4,0.6728,False,
S0078-01.filtered.vcf.gz,3.0,-2451.91345316779,0.0006786008230452,0.0,2.34662518398397e-87,8.23890000000002,2.0,9.0,4.3.2.1,0.3021,False,
S0078-01.filtered.vcf.gz,3.0,-2451.91345316779,0.0006786008230452,0.0,2.34662518398397e-87,8.23890000000002,3.0,156.0,4.1.1.3,0.0251,False,
S0079-01.filtered.vcf.gz,3.0,-4866.58396111577,0.0005567901234567,0.0,4.31510374924655e-24,6.74899999999999,1.0,65.0,2.2.M1.1,0.8791,False,
S0079-01.filtered.vcf.gz,3.0,-4866.58396111577,0.0005567901234567,0.0,4.31510374924655e-24,6.74899999999999,2.0,9.0,4.3.2.1,0.0167,False,
S0079-01.filtered.vcf.gz,3.0,-4866.58396111577,0.0005567901234567,0.0,4.31510374924655e-24,6.74899999999999,3.0,40.0,2.2.M4.4,0.1042,False,
S0082-01.filtered.vcf.gz,3.0,-1629.00013693056,0.0007395061728395,0.0,1.0001725197621e-14,14.6841,1.0,96.0,3.1.1.1,0.9025,False,
S0082-01.filtered.vcf.gz,3.0,-1629.00013693056,0.0007395061728395,0.0,1.0001725197621e-14,14.6841,2.0,148.0,4.1.1,0.0476,False,
S0082-01.filtered.vcf.gz,3.0,-1629.00013693056,0.0007395061728395,0.0,1.0001725197621e-14,14.6841,3.0,65.0,2.2.M1.1,0.0499,False,
S0083-01.filtered.vcf.gz,3.0,-5920.06613565792,0.0005567901234567,0.0,5.511164146807559e-30,11.4932,1.0,65.0,2.2.M1.1,0.7865,False,
S0083-01.filtered.vcf.gz,3.0,-5920.06613565792,0.0005567901234567,0.0,5.511164146807559e-30,11.4932,2.0,9.0,4.3.2.1,0.0322,False,
S0083-01.filtered.vcf.gz,3.0,-5920.06613565792,0.0005567901234567,0.0,5.511164146807559e-30,11.4932,3.0,40.0,2.2.M4.4,0.1813,False,
S0085-01.filtered.vcf.gz,3.0,-7995.29082976291,0.0009222222222222,0.0,1.89864330770446e-66,24.889,1.0,40.0,2.2.M4.4,0.6328,False,
S0085-01.filtered.vcf.gz,3.0,-7995.29082976291,0.0009222222222222,0.0,1.89864330770446e-66,24.889,2.0,9.0,4.3.2.1,0.0634,False,
S0085-01.filtered.vcf.gz,3.0,-7995.29082976291,0.0009222222222222,0.0,1.89864330770446e-66,24.889,3.0,65.0,2.2.M1.1,0.3038,False,
S0089-01.filtered.vcf.gz,3.0,-8833.78216840815,0.0011962962962963,0.0,1.04208445100545e-52,20.6279,1.0,40.0,2.2.M4.4,0.8408,False,
S0089-01.filtered.vcf.gz,3.0,-8833.78216840815,0.0011962962962963,0.0,1.04208445100545e-52,20.6279,2.0,9.0,4.3.2.1,0.0925,False,
S0089-01.filtered.vcf.gz,3.0,-8833.78216840815,0.0011962962962963,0.0,1.04208445100545e-52,20.6279,3.0,57.0,4.1.1.1,0.0667,False,
S0096-01.filtered.vcf.gz,3.0,-1988.24412245847,0.0009222222222222,0.0,1.55816633277235e-63,18.612,1.0,9.0,4.3.2.1,0.769,False,
S0096-01.filtered.vcf.gz,3.0,-1988.24412245847,0.0009222222222222,0.0,1.55816633277235e-63,18.612,2.0,40.0,2.2.M4.4,0.1365,False,
S0096-01.filtered.vcf.gz,3.0,-1988.24412245847,0.0009222222222222,0.0,1.55816633277235e-63,18.612,3.0,148.0,4.1.1,0.0945,False,
S0100-01.filtered.vcf.gz,3.0,-3722.564538077,0.0009222222222222,0.0,1.5472135939874499e-86,32.4533,1.0,40.0,2.2.M4.4,0.8041,False,
S0100-01.filtered.vcf.gz,3.0,-3722.564538077,0.0009222222222222,0.0,1.5472135939874499e-86,32.4533,2.0,9.0,4.3.2.1,0.0914,False,
S0100-01.filtered.vcf.gz,3.0,-3722.564538077,0.0009222222222222,0.0,1.5472135939874499e-86,32.4533,3.0,57.0,4.1.1.1,0.1045,False,
S0103-01.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0107-01.filtered.vcf.gz,2.0,-1984.81960195091,0.0001,0.001,7.57592412779351e-10,3.492,1.0,65.0,2.2.M1.1,0.988,False,
S0107-01.filtered.vcf.gz,2.0,-1984.81960195091,0.0001,0.001,7.57592412779351e-10,3.492,2.0,148.0,4.1.1,0.012,False,
S0114-01.filtered.vcf.gz,1.0,-4002.95705485032,0.0001,0.0,-1.0,inf,1.0,9.0,4.3.2.1,1.0,False,
S0115-01.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0120-01.filtered.vcf.gz,3.0,-2972.50998860849,0.0017444444444444,0.0,5.782326264300849e-94,30.0866,1.0,40.0,2.2.M4.4,0.644,False,
S0120-01.filtered.vcf.gz,3.0,-2972.50998860849,0.0017444444444444,0.0,5.782326264300849e-94,30.0866,2.0,9.0,4.3.2.1,0.1782,False,
S0120-01.filtered.vcf.gz,3.0,-2972.50998860849,0.0017444444444444,0.0,5.782326264300849e-94,30.0866,3.0,148.0,4.1.1,0.1778,False,
S0123-01.filtered.vcf.gz,3.0,-5044.58458958876,0.0005567901234567,0.0,3.37070020989556e-80,3.7752,1.0,141.0,4.4.1.1,0.8727,False,
S0123-01.filtered.vcf.gz,3.0,-5044.58458958876,0.0005567901234567,0.0,3.37070020989556e-80,3.7752,2.0,40.0,2.2.M4.4,0.1144,False,
S0123-01.filtered.vcf.gz,3.0,-5044.58458958876,0.0005567901234567,0.0,3.37070020989556e-80,3.7752,3.0,9.0,4.3.2.1,0.0129,False,
S0130-01.filtered.vcf.gz,1.0,-1961.27718692168,0.0011962962962963,0.0,-1.0,inf,1.0,65.0,2.2.M1.1,1.0,False,
S0141-01.filtered.vcf.gz,3.0,-7051.99308453975,0.0009222222222222,0.0,7.58755158591733e-30,15.309,1.0,112.0,2.2.M2.5,0.7435,False,
S0141-01.filtered.vcf.gz,3.0,-7051.99308453975,0.0009222222222222,0.0,7.58755158591733e-30,15.309,2.0,9.0,4.3.2.1,0.0406,False,
S0141-01.filtered.vcf.gz,3.0,-7051.99308453975,0.0009222222222222,0.0,7.58755158591733e-30,15.309,3.0,40.0,2.2.M4.4,0.2159,False,
S0142-01.filtered.vcf.gz,3.0,-2961.0717017965,0.0009222222222222,0.0,1.16449277300166e-06,3.28570000000001,1.0,65.0,2.2.M1.1,0.9622,False,
S0142-01.filtered.vcf.gz,3.0,-2961.0717017965,0.0009222222222222,0.0,1.16449277300166e-06,3.28570000000001,2.0,156.0,4.1.1.3,0.0121,False,
S0142-01.filtered.vcf.gz,3.0,-2961.0717017965,0.0009222222222222,0.0,1.16449277300166e-06,3.28570000000001,3.0,128.0,4.9,0.0257,False,
S0143-01.filtered.vcf.gz,3.0,-6852.10928391107,0.0009222222222222,0.0,5.29620929166269e-37,3.8453,1.0,12.0,4.3.3,0.7897,False,
S0143-01.filtered.vcf.gz,3.0,-6852.10928391107,0.0009222222222222,0.0,5.29620929166269e-37,3.8453,2.0,40.0,2.2.M4.4,0.1894,False,
S0143-01.filtered.vcf.gz,3.0,-6852.10928391107,0.0009222222222222,0.0,5.29620929166269e-37,3.8453,3.0,9.0,4.3.2.1,0.0209,False,
S0150-01.filtered.vcf.gz,3.0,-6209.02412815204,0.0009222222222222,0.0,1.54733788554593e-86,14.7525,1.0,40.0,2.2.M4.4,0.8464,False,
S0150-01.filtered.vcf.gz,3.0,-6209.02412815204,0.0009222222222222,0.0,1.54733788554593e-86,14.7525,2.0,9.0,4.3.2.1,0.1059,False,
S0150-01.filtered.vcf.gz,3.0,-6209.02412815204,0.0009222222222222,0.0,1.54733788554593e-86,14.7525,3.0,57.0,4.1.1.1,0.0477,False,
S0155-01.filtered.vcf.gz,3.0,-3353.40665436766,0.0007395061728395,0.0,5.69366362127016e-64,7.53440000000001,1.0,110.0,2.2.M4.8,0.7774,False,
S0155-01.filtered.vcf.gz,3.0,-3353.40665436766,0.0007395061728395,0.0,5.69366362127016e-64,7.53440000000001,2.0,9.0,4.3.2.1,0.0324,False,
S0155-01.filtered.vcf.gz,3.0,-3353.40665436766,0.0007395061728395,0.0,5.69366362127016e-64,7.53440000000001,3.0,40.0,2.2.M4.4,0.1902,False,
