pid,Original_ID,SampleID,Sampling_Week,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage,Paired_Sample_Num,total_samples
T0034,S0034-01,MFS-533,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0073916824389994,2,1,2
T0034,S0034-06,MFS-534,6,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0077694115390149,2,2,2
T0035,S0035-01,MFS-340,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0084474220798135,2,1,2
T0035,S0035-07,MFS-341,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0084895566823277,2,2,2
T0036,S0036-01,MFS-535,1,4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,0.0062954744826874,4,1,2
T0036,S0036-05,MFS-536,5,4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,0.0059944799033983,4,2,2
T0038,S0038-01,MFS-342,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0093429706928207,2,1,2
T0038,S0038-06,MFS-343,6,2.2.1.1,2.2.1.1.1,"beijing,haarlem,mungi","lin2.2.1,pacific_RD150",,0.0085495526781432,2,2,2
T0039,39-01,MFS-20,1,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0105014021758587,3,1,2
T0039,39-06,MFS-21,6,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0104803812375613,3,2,2
T0040,S0040-01,MFS-719,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0071983158657219,2,1,2
T0040,S0040-05,MFS-720,5,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0075514107139336,2,2,2
T0042,42-01,MFS-23,1,4.3.4.2.1,4.2.1.2.1.1.i3.1,lam,,4.3/LAM,0.0038107890780687,4,1,4
T0042,S0042-05,MFS-722,5,4.3.4.2.1,4.2.1.2.1.1.i3.1,lam,,4.3/LAM,0.003160453808752,4,2,4
T0043,S0043-01,MFS-723,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0064010508855714,2,1,2
T0043,S0043-08,MFS-724,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0067282809611829,2,2,2
T0044,S0044-01,MFS-537,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0072740529842713,2,1,2
T0044,S0044-05,MFS-538,5,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0069435370975268,2,2,2
T0045,45-01,MFS-25,1,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0094526705446853,4,1,2
T0045,45-07,MFS-26,7,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0098408104196816,4,2,2
