SAMN05915263	SRR28394256	1
SAMN05916274	SRR28393997	1
SAMN05916240	SRR28393318	1
SAMN05916278	SRR28393993	1
SAMN06094086	SRR28393811	1
SAMN05916444	SRR28393551	1
SAMN06094109	SRR28393269	1
SAMN05916436	SRR28394172	1
SAMN06094110	SRR28393268	1
SAMN05916293	SRR28394220	1
SAMN05916448	SRR28393541	1
SAMN05916284	SRR28393986	1
SAMN05915272	SRR28394246	1
SAMN05918743	SRR28394043	1
SAMN05916315	SRR28393969	1
SAMN05916295	SRR28394218	1
SAMN06094071	SRR28393545	1
SAMN05918674	SRR28393352	1
SAMN05916345	SRR28394197	1
SAMN05916431	SRR28394177	1
SAMN05916357	SRR28393571	1
SAMN05916349	SRR28393581	1
SAMN05918749	SRR28394037	1
SAMN05918752	SRR28394033	1
SAMN05918778	SRR28393621	1
SAMN06094087	SRR28393810	1
SAMN05916450	SRR28393539	1
SAMN05830709	SRR28394022	1
SAMN05916269	SRR28393587	1
SAMN06094101	SRR28393276	1
SAMN05915278	SRR28393611	1
SAMN06094082	SRR28393937	1
SAMN05915258	SRR28394017	1
SAMN05916298	SRR28394215	1
SAMN05918758	SRR28394271	1
SAMN05916429	SRR28394179	1
SAMN05918755	SRR28394274	1
