covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper
HIV_High_CD4,-0.0700289832937803,0.03402653079873766,0.010966327993617206,0.045358403058808776,0.21297512309847078,0.3330304910335294,-0.3288129724963315,464.6331255644172,0.2498296125059548,267.07312615376645,169.59130944650994,0.7427027367793322,1.974050811112377,-0.4904526977930749,0.35039473120551423,1.0725392665243902,0.70440998223201,1.633055333190596
HIV_Low_CD4,-0.014089393824227098,0.0672892425281842,0.11262040814884641,0.18366366428199218,0.42855998912870086,1.7294654744413918,-0.03287612978727212,72.23196260592624,0.6336278991751457,130.43455718064246,46.48791555070216,0.9739141198865298,2.0123256433418097,-0.876491649658199,0.8483128620097448,1.0141891171299604,0.4281366485645869,2.4024562455780556
NumVar1,0.010208331474107796,0.0005960570863930042,0.00016575164947466524,0.0007673337908501583,0.027700790437280996,0.2873494978368977,0.36852130617792606,582.0630742483688,0.22321016811652478,276.5500907848421,187.4762728797251,0.7129003628065834,1.9726983929219435,-0.04443697330418397,0.06485363625239957,0.902954319129628,0.5228104219692609,1.5595069803003794
TTP_baseline,1.2451890881388867,0.06256646309168538,0.025679785174730862,0.08910224110557395,0.2984999851014635,0.4241214334747167,4.171487940663155,326.97278182634534,0.29781268893615476,249.9903534419599,141.67290126197983,5.2502585696473085e-05,1.9768502186041501,0.655099327337723,1.8352788489400504,0.2878864670675843,0.15956899991726756,0.519390470352172
diabetes,0.3623696473155851,0.10143783468687984,0.020234996403128903,0.12234733097011302,0.3497818333906337,0.2061311378321217,1.0359876149167913,992.8870715677464,0.17090275788967532,295.1723982008398,227.53053328346263,0.30130769756225645,1.9704448884540928,-0.3268561783630902,1.0515954729942605,0.6960250364974594,0.3493798780352341,1.3866020394638583
fstrom1_baseline,0.10134183873153586,0.024821768468278757,0.006883740295990951,0.03193496677413608,0.1787035723597491,0.2865709715626307,0.5670946439029438,584.5223241297097,0.22274011919806502,276.7174360122612,187.80777004354502,0.5713270615612126,1.9726757727086348,-0.2511823689590256,0.4538660464220973,0.9036240863724596,0.635167810548388,1.2855445063683018
screen_sex,-0.05977170097366594,0.02209802634766189,0.01394077182461891,0.03650349056643476,0.1910588667569102,0.6518891774376523,-0.3128444232306435,186.2139753194911,0.3946325130895512,215.52088684959756,99.89922429921944,0.7550510206525001,1.9839960268421875,-0.4388317335123466,0.3192883315650148,1.0615941579652486,0.7266659983531647,1.5508943018938726
screen_years,-0.023923716025174305,3.457286696165727e-05,1.3011425134061279e-05,4.8018006266853925e-05,0.006929502598805626,0.3888928077647673,-3.4524434739800536,369.89259165406366,0.2800020315395232,256.33124349716735,151.40756812007731,0.0007203990983659228,1.9757559620248006,-0.03761472209863087,-0.010232709951717739,1.2702797607310643,1.1077457555750703,1.4566615691389324
