pid,Original_ID,numContigs,circContigLength,Flye_Cov,Flye_Coll2014,Flye_PP_Coll2014,NumPilonChanges,PacBio_ID,Illumina_ID,Illumina_F2,Illumina_Coll2014,ASM,PacBio_FQ_PATH,SampleID,mix_phylotypes,mix_props,n_phy,defaultParams
T0072,S0072-01,6,,12,4.1.2,4.1.2,30,MFS-350,MFS-350,0.4081944073551291,"4.1.2.1,4.8",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0072-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0072-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2018--bc2018.hifi_reads.fastq.gz,MFS-350,"4.1.2.1,4.8","0.5892,0.4108",2,1
T0087,S0087-01,5,,15,"4.1.2.1,4.8","4.1.2.1,4.8",50,MFS-353,MFS-353,0.4157682469438036,"4.1.2.1,4.8",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0087-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0087-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2020--bc2020.hifi_reads.fastq.gz,MFS-353,"4.1.2.1,4.8","0.5669,0.4331",2,1
T0167,S0167-04,8,,49,2.2.1,2.2.1,0,MFS-85,MFS-85,0.2594181525673683,"2.2.1,4.1.1.3",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0167-04/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0167-04.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2011--bc2011.hifi_reads.fastq.gz,MFS-85,"2.2.M2.2,4.1.1.3","0.7425,0.2575",2,1
T0204,S0204-08,15,,9,"2.2.1,4","2.2.1,4",103,MFS-631,MFS-631,0.314259328325075,"2.2.1,3.1.1",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0204-08/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0204-08.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2034--bc2034.hifi_reads.fastq.gz,MFS-631,"2.2.M4.4,3.1.1.1","0.6952,0.3048",2,1
T0252,S0252-01,14,,44,2.2.1.1,2.2.1.1,52,MFS-168,MFS-168,0.4772970970697756,"2.2.1.1,4.1.1.3",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0252-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0252-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2017.ccs.fastq.gz,MFS-168,"2.2.M1.1,4.1.1.3,4.4.1.1","0.4991,0.4882,0.0127",3,1
T0305,S0305-01,4,4389416.0,248,4.3.2,4.3.2,36,MFS-313,MFS-313,0.4368104013836703,"2.2.1.1,4.3.2.1",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0305-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0305-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2013--bc2013.hifi_reads.fastq.gz,MFS-313,"2.2.M1.1,4.3.2.1","0.4235,0.5765",2,1
T0311,S0311-01,4,4409171.0,149,2.2.1.1,2.2.1.1,11,MFS-317,MFS-317,0.3696847753185781,"2.2.1.1,4.3.2.1",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0311-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0311-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2015--bc2015.hifi_reads.fastq.gz,MFS-317,"2.2.M1.1,4.3.2.1,4.3.3","0.632,0.3551,0.0129",3,1
T0391,S0391-01,7,,12,"4.1,2.2.1.1","4.1,2.2.1.1",48,MFS-483,MFS-483,0.4744635733026632,"2.2.1.1,4.1.1.3",/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0391-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0391-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2028--bc2028.hifi_reads.fastq.gz,MFS-483,"2.2.M1.1,4.1.1.3","0.4919,0.5081",2,1
