SampleID,Total_Reads_after_fastp,Keep_Reads_Kraken_Standard_DB,Keep_Proportion_Kraken_Standard_DB,Unclassified_Proportion_Kraken_Custom_DB,NTM_Reads,NTM_Proportion
MFS-21,6121848,6049807,0.9882321482010008,0.0087,28062,0.00458390995660134
MFS-22,4953011,4888738,0.9870234489687182,0.0086,28245,0.0057025918173813864
MFS-23,4876595,4831638,0.99078106752765,0.0042,29554,0.006060376143600196
MFS-24,4311119,4269894,0.9904375174983572,0.005,25218,0.005849525378445828
MFS-25,4067710,4023065,0.9890245371474368,0.0059,24138,0.005934051345843239
MFS-258,7069440,6935247,0.9810178741173275,0.0081999999999999,88330,0.0124946247510411
MFS-259,7013834,6891696,0.9825861290700636,0.0077,71922,0.010254305990133213
MFS-26,4705288,4657437,0.9898303780767512,0.0052,27123,0.005764365539367622
MFS-260,5118491,5017672,0.9803029838286323,0.009,64091,0.012521463845496652
MFS-261,5527065,5422382,0.9810599296371584,0.0081999999999999,67107,0.012141525384629998
MFS-262,5468184,5365635,0.9812462418967614,0.0089,61226,0.011196770262302804
MFS-263,4439503,4349648,0.9797601217974174,0.0086,56560,0.012740164833766303
MFS-264,4309397,4226694,0.9808086839063562,0.0066,57435,0.013327850741066558
MFS-265,5238470,5150795,0.9832632428934402,0.0051,65424,0.012489142822236263
MFS-266,4166818,4088682,0.9812480410711484,0.0065,53842,0.012921610687099844
MFS-267,4388591,4316527,0.98357923989727,0.0042,57856,0.013183274540735283
MFS-268,4584906,4509284,0.9835063139789562,0.0048,57807,0.012608110177177024
MFS-269,5154928,5078236,0.9851225856112832,0.0051,57401,0.011135170074150404
MFS-27,4079104,4038644,0.9900811550771934,0.0051,25141,0.006163363326848249
MFS-270,4869800,4787698,0.983140580722001,0.0056999999999999,60780,0.012481005380097745
MFS-271,4721825,4637601,0.9821628289909092,0.0059,62216,0.013176261297273829
MFS-272,4213799,4146268,0.9839738440300546,0.0046,52949,0.012565620714229606
MFS-273,4563959,4492921,0.9844350047842236,0.0045,56794,0.012444020640851506
MFS-274,4649113,4571671,0.9833426290133194,0.0056999999999999,58238,0.01252669057516993
MFS-275,4140078,4077033,0.984772026034292,0.0046,49952,0.012065473162582926
MFS-276,4953994,4867272,0.9824945286570796,0.0058,64918,0.013104174126977142
MFS-277,4293435,4228040,0.9847686060229164,0.0043,54090,0.012598304155064651
MFS-278,4250777,4181357,0.9836688680681204,0.0051,53701,0.012633219761939993
MFS-279,5244507,5157685,0.9834451550927475,0.0062,59390,0.011324229331756063
MFS-28,4017609,3979666,0.990555825616679,0.0039,24332,0.006056338483909211
MFS-280,4108603,4035588,0.9822287526928252,0.0055,54100,0.013167492697639562
MFS-281,4506731,4431591,0.983327161084165,0.0051,57179,0.012687466813528475
MFS-282,5099834,4995186,0.9794801164116322,0.0086,66522,0.013043953979678554
MFS-283,5684927,5581531,0.9818122554608,0.0067,72127,0.012687410058211829
MFS-284,5071505,4991527,0.9842299278024964,0.0049,60586,0.011946355174647368
MFS-285,4992464,4905398,0.9825605152085224,0.0064,59726,0.011963230981735672
MFS-286,4390376,4303919,0.9803076091888258,0.0076,58017,0.013214585721131858
MFS-287,5119389,5036986,0.9839037432006046,0.0044,65315,0.01275835846816876
MFS-288,4516221,4440801,0.9833001972224122,0.0054,56117,0.012425654103286797
MFS-289,5196195,5119150,0.9851728043308612,0.0048,59208,0.011394491546217954
MFS-29,4270826,4223422,0.988900507770628,0.0064,24991,0.0058515612670710536
MFS-290,4143640,4075575,0.9835736212605344,0.0044,54453,0.013141344325279223
MFS-291,5063365,4980684,0.98367074070307,0.0048,64452,0.012729084314482563
MFS-292,5625924,5536189,0.984049731208598,0.0045,71047,0.012628503335629844
MFS-293,5518920,5434680,0.9847361440281794,0.0040999999999999,69190,0.012536873156342183
MFS-294,5165451,5086914,0.9847957129009643,0.0049,62350,0.012070582026622652
MFS-295,4919245,4831322,0.9821267287967972,0.0066,61329,0.012467157053572245
MFS-296,4428013,4359483,0.9845235323383196,0.004,55567,0.012548969481345245
MFS-297,4982755,4896257,0.9826405271782376,0.0062,62283,0.012499711504980679
MFS-298,4881692,4805755,0.9844445327562656,0.0034999999999999,62712,0.012846365563415308
MFS-299,4561290,4490528,0.9844864062578788,0.0037,57915,0.012697065961602968
MFS-3,5089739,5044842,0.9911789189976146,0.0040999999999999,27927,0.005486921824478622
MFS-30,4408407,4353637,0.9875760110171315,0.0077,25390,0.0057594500689251244
MFS-300,4594300,4518168,0.9834290316261456,0.0046999999999999,57935,0.012610190888709924
MFS-301,4160905,4092758,0.983622072601994,0.0042,54146,0.013013034424001509
MFS-302,4558713,4493301,0.9856512134016772,0.0039,51929,0.011391153599711146
MFS-303,4364048,4293417,0.9838152559275242,0.005,53815,0.012331440900741697
MFS-305,4078545,4011914,0.9836630465031034,0.0046,52673,0.012914654613348633
MFS-306,5265688,5178145,0.9833748220555416,0.0051,66778,0.012681723641810909
MFS-307,4784211,4701063,0.9826203317537624,0.0055,61895,0.012937347453947997
MFS-308,5146844,5037853,0.9788237218769406,0.0098,65330,0.012693215492834056
MFS-309,4348875,4265711,0.9808768934494552,0.0069999999999999,55820,0.012835503434796355
MFS-31,4865584,4811831,0.9889524053022206,0.0066,27254,0.005601383102213424
MFS-310,5027433,4935487,0.9817111436393086,0.0062,64736,0.012876551512471673
MFS-311,4214722,4144437,0.9833239297870654,0.0054,52738,0.012512806301340872
MFS-312,4644594,4543316,0.9781944342175012,0.0104,59470,0.012804133149205291
MFS-313,5260253,5154095,0.9798188414131412,0.0091,65081,0.012372218598611132
MFS-314,5666128,5547973,0.9791471353982826,0.0092,72413,0.012779979555703648
MFS-315,5228825,5134206,0.981904347535058,0.0070999999999999,64252,0.012288037943515035
MFS-316,5225031,5145203,0.9847220045201646,0.0043,64079,0.012263850683373935
MFS-317,6212982,6100045,0.9818224163533712,0.0069,78272,0.012598137255185996
MFS-318,5647502,5553955,0.9834356853702751,0.0065,66674,0.011805927647303179
MFS-319,6303245,6197092,0.9831589919160686,0.005,80898,0.012834341676390495
MFS-32,4126570,4085357,0.990012770896895,0.0053,23585,0.005715400441528921
MFS-320,4898817,4814919,0.9828738244355728,0.0051,63428,0.012947615720285122
MFS-321,6708439,6591503,0.9825688211519849,0.0068,81250,0.012111610465564344
MFS-322,5248298,5157241,0.9826501848789836,0.0062,64466,0.012283220198243317
MFS-323,4513204,4441117,0.9840275334330112,0.0046,56818,0.012589282469837393
MFS-324,5016067,4939955,0.98482635897806,0.0038,62787,0.012517177302456287
MFS-325,5978920,5881443,0.9836965538926764,0.0053,72850,0.012184474788088819
MFS-326,5046498,4964723,0.9837956935680942,0.0043,64797,0.012839993199244308
MFS-327,5558100,5470427,0.9842260844533204,0.0042,69917,0.012579298681204009
MFS-328,4149163,4084689,0.9844609623675908,0.0040999999999999,52790,0.012723047997873306
MFS-329,5085542,5006076,0.9843741335731768,0.0037,65690,0.012917010615584337
MFS-33,4612808,4571807,0.9911114878399448,0.0046,25706,0.005572744410779725
MFS-330,5535773,5436310,0.9820326808920814,0.0066,69623,0.012576924667973199
MFS-331,7352145,7256897,0.9870448692184388,0.0055,57732,0.007852402258116509
MFS-332,5784914,5715478,0.9879970557902849,0.0039,46807,0.008091217950690364
MFS-333,7387613,7310314,0.9895366744305636,0.0034,56431,0.007638597203183221
MFS-334,6628229,6552628,0.988594087500598,0.0034999999999999,53520,0.008074555058372304
MFS-335,6274260,6206653,0.9892247053835832,0.0036,48638,0.007751989876096942
MFS-336,5632127,5568944,0.9887816805267352,0.0034,45317,0.008046160890903205
MFS-337,6747029,6674135,0.9891961335870944,0.0038,52275,0.007747854648320024
MFS-338,5630594,5560221,0.9875016738908896,0.0065,41838,0.00743047713971208
MFS-339,4932772,4871518,0.9875822357084414,0.0067,35721,0.007241567216161622
MFS-34,4042991,4005958,0.9908401972697936,0.0042,23936,0.00592036935031515
MFS-340,4670109,4609114,0.9869392770061683,0.0063,37144,0.007953561683463919
MFS-341,4886241,4832292,0.988958997315114,0.0049,36281,0.007425135190834836
MFS-342,4848583,4778499,0.98554546761394,0.0074,37658,0.007766805270735801
MFS-343,6842239,6774279,0.9900675787560184,0.0034,50089,0.007320556911268373
MFS-344,5555442,5493514,0.9888527321498451,0.0034,44819,0.008067584901435386
MFS-345,6070506,5991876,0.9870472082557864,0.0067,46612,0.007678437349374171
MFS-346,5801126,5738953,0.98928259789565,0.0038,44427,0.007658340811766543
MFS-347,6159755,6096296,0.989697804539304,0.0045,44384,0.007205481386840872
MFS-348,6516400,6445683,0.9891478423669512,0.0037,50271,0.00771453563317169
MFS-349,4862962,4808635,0.9888284136293888,0.0039,38315,0.007878942915860745
MFS-35,4257782,4220045,0.9911369346763174,0.0040999999999999,25027,0.005877943022916626
MFS-350,5773747,5716476,0.9900807915552932,0.0042,41943,0.007264433304749931
MFS-351,5818822,5754343,0.9889188911432588,0.0034999999999999,46437,0.007980481272669966
MFS-353,7116253,7049923,0.9906790835008256,0.0036,49591,0.006968695463750375
MFS-354,5759124,5695694,0.988986172202578,0.0043,42654,0.00740633471340433
MFS-355,5128071,5071310,0.9889313154985568,0.004,40018,0.007803714106142446
MFS-356,6251503,6179539,0.9884885282787196,0.0046,47517,0.007600892137458784
MFS-357,6152594,6081780,0.9884903830806974,0.0037,49740,0.008084394972266982
MFS-358,7720501,7646843,0.9904594274387116,0.004,55176,0.007146686465036401
MFS-359,5421640,5349849,0.9867584347171704,0.0069,40613,0.007490906810485388
MFS-36,4021401,3982614,0.9903548539426932,0.0046999999999999,23864,0.0059342502774530565
MFS-360,4663623,4616616,0.9899204974330044,0.005,33558,0.007195693133857518
MFS-361,5216074,5159410,0.9891366571869954,0.0045,39102,0.007496442726847817
MFS-362,4250079,4201576,0.98858774154551,0.0043,33397,0.007857971581234137
MFS-363,4273479,4227509,0.989242956382844,0.0039,33605,0.007863616505428012
MFS-364,4213795,4165315,0.9884949315284678,0.005,31622,0.007504399241064171
MFS-365,4843520,4791187,0.9891952546908034,0.0039,36860,0.007610167811839323
MFS-366,6097976,5262188,0.8629400968452483,0.1322,36113,0.005922128916217447
MFS-367,5461392,5399035,0.9885822149371444,0.0037,43254,0.007919958867629352
MFS-368,5306147,5238175,0.987189951578801,0.0062,40154,0.007567449601377421
MFS-369,4972698,4920317,0.98946628168451,0.0044,36187,0.007277136073817473
MFS-37,4469609,4422172,0.9893867673883778,0.006,25526,0.0057110140954164
MFS-370,5146423,5084989,0.9880627768063373,0.0046999999999999,40123,0.007796288800978855
MFS-371,5453286,5395899,0.989476620151593,0.005,41110,0.00753857399006764
MFS-372,4648403,4592578,0.9879904991025952,0.0040999999999999,37185,0.007999521556112927
MFS-373,4563679,4512272,0.988735623167186,0.0040999999999999,34829,0.007631781288736566
MFS-374,5226892,5167058,0.9885526618877912,0.004,40169,0.007685064087798256
MFS-375,4177574,4129589,0.988513668459254,0.0039,33232,0.00795485609590638
MFS-377,4881262,4827705,0.9890280423382314,0.0039,36735,0.007525717734471127
MFS-38,5206621,5157719,0.9906077281215592,0.0049,29064,0.0055821232234879396
MFS-381,5331105,5276518,0.9897606593754952,0.0036,40644,0.0076239353754990755
MFS-382,4394445,4344578,0.9886522643928868,0.0034999999999999,36293,0.008258835871196477
MFS-383,4453102,4405616,0.989336422116538,0.0039,33881,0.0076084042090210375
MFS-385,4334612,4287529,0.9891378974634868,0.0037,33916,0.007824460413065806
MFS-387,5259536,5197289,0.988164925575184,0.004,43221,0.008217645054620788
MFS-388,4805562,4750967,0.9886392059867296,0.0044,35998,0.00749090324919333
MFS-389,4393608,4337861,0.9873117947709492,0.0064,32262,0.007342940016496692
MFS-39,4247241,4194368,0.9875512126578172,0.0076,24309,0.005723480254593512
MFS-390,5814144,5754277,0.9897032134051033,0.0033,44863,0.0077161831561103405
MFS-391,5544323,5485148,0.9893269205275378,0.0056,38087,0.006869549266880735
MFS-392,5595458,5535087,0.9892107134036212,0.0056999999999999,37962,0.006784431229758136
MFS-393,4667737,4610693,0.987779088667592,0.0053,36215,0.007758577657652949
MFS-394,5492751,5364301,0.9766146326312626,0.0162,40890,0.0074443571172259585
MFS-395,4814340,4744646,0.9855236647183206,0.0077,36164,0.0075117253870727865
MFS-396,5476537,5401903,0.9863720449619896,0.0066,41000,0.007486482790128141
MFS-397,5586986,5283277,0.9456399210594048,0.0499,44741,0.008008074478797691
MFS-398,4126793,4077660,0.988094144775374,0.0055,30880,0.007482808078815681
MFS-399,4303275,4258639,0.9896274349187536,0.004,32932,0.007652776083331881
MFS-4,5472380,5419334,0.9903065942058116,0.0046,29879,0.005459964403056805
MFS-40,6317415,6240055,0.9877544850227508,0.0076,35136,0.005561768539822064
MFS-400,4719413,4665401,0.9885553563546992,0.0040999999999999,37353,0.007914755500313281
MFS-401,4550947,4503562,0.989587881379414,0.0049,34113,0.00749580252198059
MFS-402,4238264,4178295,0.9858505746692514,0.0066,33758,0.007965053616291953
MFS-403,4733721,4677350,0.9880916091168026,0.005,37586,0.007940053923752582
MFS-404,4686034,4636514,0.9894324283605284,0.0039,36046,0.00769221904920024
MFS-405,4885413,4818909,0.986387230721333,0.0070999999999999,37322,0.00763947694903174
MFS-406,4442386,4388375,0.9878418939731936,0.006,33895,0.0076299087922571335
MFS-407,5243301,5186111,0.989092749014409,0.0040999999999999,40060,0.007640225117726409
MFS-408,5231261,5173913,0.9890374424063336,0.0046999999999999,39380,0.007527821685822979
MFS-409,4951776,4478437,0.9044102560374296,0.106,439386,0.08873301215563871
MFS-41,4129049,4090335,0.990623991141786,0.0049,22926,0.005552368111882421
MFS-410,4754696,4694276,0.987292562973532,0.0046999999999999,38523,0.008102095275912487
MFS-411,4769989,4716183,0.9887198901297256,0.0045,36535,0.007659346803525123
MFS-412,5473144,5413499,0.9891022417827852,0.0045,41902,0.007655928658189881
MFS-413,4584152,4519228,0.9858372933532744,0.0070999999999999,36247,0.007907024025381357
MFS-414,5131566,5068103,0.987632820078705,0.006,39583,0.007713629718491392
MFS-415,5787728,5716537,0.9876996638404568,0.0063,43847,0.007575857054789029
MFS-416,5610747,5543199,0.9879609613479274,0.0058,44215,0.00788041235863959
MFS-417,5420480,5346941,0.9864331203140682,0.0070999999999999,42701,0.00787771562666037
MFS-418,4591551,4545717,0.9900177521713251,0.0039,35534,0.007738997127550146
MFS-419,5749715,5688653,0.9893799953562916,0.0048,43021,0.007482283904506571
MFS-42,4306161,4262170,0.9897841720270096,0.0051,24823,0.005764531330807185
MFS-420,4903973,4857466,0.990516464915284,0.0039,36894,0.0075232877505646955
MFS-421,4264125,4222029,0.9901278691407968,0.0048,30192,0.007080467856828775
MFS-424,6194612,6132360,0.9899506216047108,0.0039,47392,0.007650519515992285
MFS-426,6155020,6083300,0.9883477226719004,0.0055,47001,0.007636205893725771
MFS-427,4987648,4925946,0.9876290387773956,0.0065,35932,0.007204197248883642
MFS-428,5093083,5033563,0.988313561746392,0.0068,35471,0.0069645438725424265
MFS-429,4947215,4884500,0.9873231707132196,0.0070999999999999,35843,0.00724508637688073
MFS-43,4729581,4684290,0.9904238874437292,0.0046999999999999,28000,0.005920186164482646
MFS-430,6037961,5962062,0.9874296968794598,0.0067,44119,0.007306936894756359
MFS-431,4735004,4675011,0.9873298945470796,0.0072,33813,0.0071410710529494804
MFS-432,4347856,4303634,0.9898290099764112,0.0048,32297,0.007428258893578813
MFS-433,5126870,5060470,0.9870486281103286,0.0069,39507,0.007705871223573057
MFS-434,4387185,4338930,0.9890009197241512,0.006,31115,0.007092247078707645
MFS-435,4807081,4752320,0.9886082635179227,0.0056,36145,0.007519116070646615
MFS-436,4238577,4179689,0.9861066579656332,0.0083,31592,0.0074534448707667695
MFS-437,5220953,5168061,0.9898692824854006,0.0043,37856,0.00725078352553643
MFS-438,5088506,5031221,0.9887422752375647,0.0045,38809,0.007626796548928114
MFS-439,4316095,4270282,0.9893855441087372,0.004,32719,0.007580695049576064
MFS-44,4035134,3989313,0.988644491112315,0.0066,24303,0.00602284831185284
MFS-440,4403260,4358791,0.9899008916121236,0.004,33359,0.0075759777982676475
MFS-441,5162335,5110222,0.989905149510832,0.0043,36956,0.007158776018991406
MFS-442,5154923,5096006,0.988570731318392,0.0052,38095,0.0073900230905485885
MFS-443,4250373,4206426,0.9896604368604826,0.0040999999999999,32278,0.007594157030453562
MFS-444,4244241,4200252,0.9896356026907992,0.0040999999999999,32153,0.007575677253011787
MFS-445,4750370,4670300,0.9831444708517442,0.0106,47850,0.010072899584663932
MFS-446,4300813,4262037,0.9909840302287032,0.0038,31456,0.007313965987360995
MFS-447,4577079,4502083,0.983614877523416,0.01,35631,0.007784659167997756
MFS-448,4831246,4778628,0.9891088137511524,0.0049,35978,0.007446940188928487
MFS-449,4676267,4627158,0.9894982472130012,0.0040999999999999,36793,0.007868028065976558
MFS-45,5018537,4972905,0.9909073102380236,0.0044,30295,0.0060366198356214176
MFS-450,4441502,4397720,0.99014252385792,0.0039,33339,0.007506244509177301
MFS-452,4346718,4304732,0.9903407582456464,0.0039,33347,0.00767176522608552
MFS-454,4667158,4618983,0.989677872486854,0.0045,35322,0.007568203176322721
MFS-455,5017663,4959604,0.988429075448072,0.0053,37497,0.007473000877101551
MFS-456,4732812,4679679,0.9887734818116588,0.0051,36643,0.007742331620186899
MFS-457,4644402,4582216,0.9866105474935202,0.0083,33424,0.007196620792084751
MFS-458,5364284,5299007,0.9878311811977144,0.0058,40284,0.007509669510413691
MFS-459,6033534,5961363,0.9880383536414976,0.0077,41807,0.006929106556787449
MFS-46,4825807,4778632,0.9902244329290416,0.0046999999999999,30033,0.006223415068194812
MFS-460,5051573,4997883,0.9893716274118972,0.0045,38915,0.007703541055429666
MFS-461,4769095,4719962,0.9896976260695164,0.004,35963,0.007540843703050579
MFS-462,4817218,4760114,0.9881458551387958,0.0053,36482,0.007573250784996652
MFS-463,4717023,4657417,0.98736364016033,0.0069,34652,0.0073461587954945316
MFS-464,5141269,5080769,0.988232477234706,0.0056999999999999,37728,0.007338266097339004
MFS-465,5356105,5280382,0.985862301056458,0.009,37492,0.006999862773414636
MFS-466,5056441,4980475,0.9849763895198224,0.0093999999999999,36574,0.00723315074772948
MFS-467,4763125,4709535,0.9887489830730876,0.0059,34865,0.007319774307833617
MFS-468,5067172,4939753,0.974854021138418,0.0202,33895,0.006689135478329925
MFS-469,5388242,5326869,0.9886098285860212,0.0044,40044,0.0074317374757852375
MFS-47,5001235,4946516,0.9890589024510946,0.0062,29111,0.005820762271718885
MFS-470,4930206,4859881,0.9857358901433328,0.0087,37031,0.007511045177422607
MFS-471,5262732,5202481,0.9885513835779592,0.0062,36591,0.006952852624834402
MFS-472,4583625,4516241,0.9852989718836074,0.0081999999999999,33976,0.0074124737516703485
MFS-473,4902284,4852020,0.989746820053673,0.004,36901,0.007527307679440849
MFS-474,5009961,4959795,0.9899867483998378,0.0046,35818,0.00714935705088323
