covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,Indel
RIF_pred_MIC_high,1.3498706576325008,3.856926634411291,0.4850848640978354,2.818563101289926,1.0128691154294471,1,0.005390006372899681,16.752761348153975,2.3010743302701653,121.96694782790891,espR_c.-145_-144insG
smoked_substance_use,0.2097167445187083,1.2333286633706964,0.26697901754251996,0.4297188928974973,0.5470518251106973,1,0.4321500951912568,1.536825450272315,0.5259847905343735,4.4903056269083415,espR_c.-145_-144insG
screen_years,-0.06825436293065888,0.9340228625661534,0.2621123164717953,-0.0053471084525040825,0.020534115662842245,1,0.7945543139178851,0.9946671618855527,0.9554305182756903,1.0355151358562515,espR_c.-145_-144insG
Indel_Change,-0.2675785925278687,0.7652301868846437,2.0143091321131767,-5.543429188719563,41.73046854223804,1,0.8943207958273793,0.003913085097070511,1.178908422056268e-38,1.298848552647329e+33,espR_c.-145_-144insG
Lineage_2,1.2337071059357558,3.4339359340408873,0.5029757534242177,2.465281750886101,1.0050821139709656,1,0.014174271946458586,11.766796990457731,1.641084011323367,84.3695450441889,espR_c.-145_-144insG
HIV_High_CD4,0.016040778783208597,1.0161701227423454,0.231362935654406,0.04130106949470486,0.5957027905630267,1,0.9447256170982589,1.0421658226554096,0.32424530174451677,3.3496540923415044,espR_c.-145_-144insG
bl_prevtb,0.1734907598929005,1.1894496960762497,0.23090457802191472,0.35549024680989283,0.47313370165199,1,0.45244046846251296,1.4268800062110918,0.5644887818550687,3.606779474756152,espR_c.-145_-144insG
peth_value_baseline,-0.19951242690653598,0.8191300414972089,0.3296784489247742,-0.0006023540718620486,0.0009953422911748292,1,0.5450641929882643,0.999397827306932,0.9974500675002995,1.0013493905804125,espR_c.-145_-144insG
high_lung_involvement,0.24767027387221968,1.2810374710247434,0.2618143505938549,0.502660274998535,0.5313664470527786,1,0.3441604734412915,1.6531131619051687,0.583448656264912,4.68384509368601,espR_c.-145_-144insG
underweight,0.2833404628830748,1.3275570687911034,0.2513029263051126,0.5708670288744275,0.5063186296355077,1,0.25953717124229214,1.769800854854869,0.656062480497413,4.774232880182781,espR_c.-145_-144insG
screen_sex,0.0629162935764844,1.0649376933747376,0.23998601997914237,0.1299125336118767,0.495534465154407,1,0.7931930837254465,1.138728778475342,0.43114226109714054,3.0075994583045156,espR_c.-145_-144insG
diabetes,0.031941860514407255,1.0324574770135184,0.2400666332591517,0.1478740703683676,1.1113826698870257,1,0.8941505599902346,1.1593668885246116,0.13128353102632448,10.2383868844731,espR_c.-145_-144insG
fstrom1_baseline,-0.23615964210417784,0.7896546017476593,0.22819540440277256,-0.5104504600499045,0.49323605049877645,1,0.3007151682786007,0.6002251404592767,0.22828159303684345,1.5781833937930014,espR_c.-145_-144insG
HIV_Low_CD4,0.26057585352782614,1.2976771435085372,0.1833570518252009,1.1647524591381617,0.8195908182678947,1,0.15527635998773778,3.2051293845050473,0.6429964815251316,15.976532790741533,espR_c.-145_-144insG
smear_pos_no_contam_sputum_specimen_1,0.5330121328723617,1.7040574333766403,0.4185522558563507,1.406729496654767,1.1046461569862924,1,0.2028526743304978,4.0825814499219915,0.46844471586039704,35.580444673463404,espR_c.-145_-144insG
TTP_baseline,0.15898925982541398,1.1723253556341116,0.28128681204901274,0.4857440704437669,0.8593876164772094,1,0.5719233419471492,1.6253839591801447,0.3016087272953616,8.759272446957304,espR_c.-145_-144insG
RIF_pred_MIC_high,1.352957808445209,3.8688519467529323,0.4859566237947542,2.8250091480423443,1.014689371096932,1,0.005367444852751202,16.861099231433247,2.3077073100398593,123.19442160424074,phoT
smoked_substance_use,0.2141801249499529,1.2388457817319185,0.26710292696842614,0.4388645569783341,0.5473057210093875,1,0.4226318414760827,1.550945208455701,0.5305532522441944,4.533816406660279,phoT
screen_years,-0.06878583148293393,0.9335265906757265,0.26258469082940494,-0.005388744179014301,0.020571121896757093,1,0.7933547887121618,0.9946257490577644,0.9553214462365499,1.0355471287554032,phoT
Indel_Change,-0.00831186263851585,0.9917225853832645,0.2375925550676068,-0.16475173579158167,4.7093879628326745,1,0.9720927519590591,0.8481042318793605,8.314017392654307e-05,8651.422701703586,phoT
Lineage_2,1.2351147535824858,3.438773109598129,0.5036746909483674,2.468094613062597,1.0064787809067441,1,0.014198283955680112,11.799941962916265,1.6412078280432585,84.83912149882947,phoT
HIV_High_CD4,0.016170164781599813,1.0163016094342967,0.23146328956583256,0.04163420669355404,0.5959611772614476,1,0.944304611419095,1.042513064694714,0.32418911768265535,3.352467528299492,phoT
bl_prevtb,0.17713104452054906,1.193787522190812,0.23106960900798854,0.36294935115377785,0.47347185744776193,1,0.44333718099944686,1.4375630464876081,0.5683383010404932,3.636192579038398,phoT
peth_value_baseline,-0.20144615367024626,0.8175475983124781,0.3308483158521699,-0.0006081922454938854,0.0009988742722056832,1,0.5426055223190964,0.9993919926659208,0.9974373393912616,1.0013504764262389,phoT
high_lung_involvement,0.2530538498316842,1.2879526309996552,0.26159176484672325,0.5135865348598865,0.530914697187465,1,0.333363258031223,1.6712745431981995,0.5903810220182563,4.73111176438862,phoT
underweight,0.28105566396207,1.3245273303223626,0.25125086544584263,0.5662636751622973,0.5062137387641168,1,0.26329987385273534,1.7616725585851423,0.6531836026591139,4.751329015360453,phoT
screen_sex,0.060929196369985034,1.0628236597499068,0.23971757880361463,0.12580948147776466,0.49498017514054654,1,0.7993636481975186,1.1340660871049129,0.42984360968361457,2.992032127377868,phoT
diabetes,0.032713724463056586,1.0332547013533215,0.24017652553775612,0.1514473958421889,1.11189141353181,1,0.8916576400649512,1.1635170943629587,0.13162218050798774,10.285287963244656,phoT
