Original_ID	PacBio_FQ_PATH	Illumina_ID
S0283-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2063--bc2063.hifi_reads.fastq.gz	MFS-324
S0082-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2064--bc2064.hifi_reads.fastq.gz	MFS-47
S0184-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2065--bc2065.hifi_reads.fastq.gz	MFS-102
S0165-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2066--bc2066.hifi_reads.fastq.gz	MFS-83
S0189-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2067--bc2067.hifi_reads.fastq.gz	MFS-107
S0225-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2068--bc2068.hifi_reads.fastq.gz	MFS-135
S0180-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2069--bc2069.hifi_reads.fastq.gz	MFS-97
S0186-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2070--bc2070.hifi_reads.fastq.gz	MFS-104
S0209-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2001--bc2001.hifi_reads.fastq.gz	MFS-119
S0209-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2002--bc2002.hifi_reads.fastq.gz	MFS-120
S0220-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2003--bc2003.hifi_reads.fastq.gz	MFS-130
S0291-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2009--bc2009.hifi_reads.fastq.gz	MFS-308
S0291-09	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2010--bc2010.hifi_reads.fastq.gz	MFS-309
S0305-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2013--bc2013.hifi_reads.fastq.gz	MFS-313
S0310-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2014--bc2014.hifi_reads.fastq.gz	MFS-316
S0265-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2017--bc2017.hifi_reads.fastq.gz	MFS-184
S0188-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2018--bc2018.hifi_reads.fastq.gz	MFS-106
S0008-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2020--bc2020.hifi_reads.fastq.gz	MFS-4
S0045-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2022--bc2022.hifi_reads.fastq.gz	MFS-25
S0047-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2023--bc2023.hifi_reads.fastq.gz	MFS-27
S0282-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2024--bc2024.hifi_reads.fastq.gz	MFS-323
S0013-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2025--bc2025.hifi_reads.fastq.gz	MFS-5
S0106-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2026--bc2026.hifi_reads.fastq.gz	MFS-57
S0185-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2027--bc2027.hifi_reads.fastq.gz	MFS-103
S0305-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2028--bc2028.hifi_reads.fastq.gz	MFS-314
S0049-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2032--bc2032.hifi_reads.fastq.gz	MFS-28
S0289-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2033--bc2033.hifi_reads.fastq.gz	MFS-329
